          atime         vdf_uu         vdf_vv         vdf_ww         pm1avg           tavg
  2.0799350E+02  1.4526445E-01 -3.8774709E-05  7.0861904E-02 -8.4116403E-02  0.0000000E+00
  2.0799350E+02  5.0752250E-02  2.3099949E-03  1.9820762E-02 -8.3523519E-02  0.0000000E+00
  2.0799350E+02 -8.1198716E-02  4.2649606E-03 -6.3233032E-03 -8.2266432E-02  0.0000000E+00
  2.0799350E+02 -4.5849623E-02  3.7060947E-03 -1.6283770E-02 -8.0429800E-02  0.0000000E+00
  2.0799350E+02 -6.3700246E-03  1.8991026E-03 -1.4292306E-02 -7.8449917E-02  0.0000000E+00
  2.0799350E+02  4.7834571E-03  1.4990744E-04 -8.9847674E-03 -7.6577742E-02  0.0000000E+00
  2.0799350E+02  5.2932489E-03 -1.0693088E-03 -3.9440462E-03 -7.4857711E-02  0.0000000E+00
  2.0799350E+02  3.0971034E-03 -1.8472777E-03 -4.2220573E-04 -7.3235418E-02  0.0000000E+00
  2.0799350E+02  2.5672544E-03 -2.3332523E-03  9.3984528E-04 -7.1635461E-02  0.0000000E+00
  2.0799350E+02  2.0581779E-03 -2.4919351E-03  1.2190257E-03 -6.9996317E-02  0.0000000E+00
  2.0799350E+02  1.6900714E-03 -2.2029287E-03  1.1270512E-03 -6.8274457E-02  0.0000000E+00
  2.0799350E+02  1.1558740E-03 -1.6314014E-03  7.7528288E-04 -6.6451041E-02  0.0000000E+00
  2.0799350E+02  4.6586338E-04 -1.1016417E-03  9.5601133E-05 -6.4535137E-02  0.0000000E+00
  2.0799350E+02 -1.0338000E-04 -7.8990783E-04 -6.6171873E-04 -6.2559026E-02  0.0000000E+00
  2.0799350E+02 -3.2151309E-04 -5.6445613E-04 -7.2991034E-04 -6.0563377E-02  0.0000000E+00
  2.0799350E+02 -3.0946566E-04 -3.2657095E-04 -2.1724814E-04 -5.8573726E-02  0.0000000E+00
  2.0799350E+02 -3.1769044E-04 -1.9535507E-05 -3.5200588E-04 -5.6602816E-02  0.0000000E+00
  2.0799350E+02 -4.1649849E-04  2.1396261E-04 -3.6968188E-04 -5.4656926E-02  0.0000000E+00
  2.0799350E+02 -5.8937234E-04  3.4899655E-04 -3.3206151E-04 -5.2745672E-02  0.0000000E+00
  2.0799350E+02 -7.2090455E-04  4.5949024E-04 -2.4254425E-04 -5.0877670E-02  0.0000000E+00
  2.0799350E+02 -7.9209550E-04  5.6313609E-04 -1.2738078E-04 -4.9058430E-02  0.0000000E+00
